0	0.333248 0.262107 0.332484 0.0721613 
1	0.296328 0.0432704 0.327323 0.333078 
2	0.330693 0.273359 0.315847 0.0801015 
3	0.328617 0.258824 0.31701 0.0955489 
4	0.317606 0.32834 0.3043 0.0497536 
5	0.32872 0.25067 0.304758 0.115852 
6	0.229253 0.160173 0.280828 0.329746 
7	0.329361 0.184684 0.153588 0.332367 
8	0.324928 0.237956 0.318648 0.118468 
9	0.331327 0.205878 0.139823 0.322972 
10	0.330469 0.280403 0.321599 0.0675296 
11	0.216435 0.142937 0.31328 0.327348 
12	0.325095 0.0573387 0.284458 0.333109 
13	0.327983 0.194522 0.32064 0.156855 
14	0.33048 0.273445 0.326131 0.0699434 
15	0.331452 0.301199 0.32739 0.0399587 
16	0.32958 0.216694 0.326205 0.127521 
17	0.322872 0.0369179 0.309194 0.331016 
18	0.322045 0.326179 0.272291 0.0794853 
19	0.320618 0.283997 0.174473 0.220912 
20	0.329454 0.0217806 0.325631 0.323135 
21	0.325562 0.32181 0.269931 0.0826969 
22	0.326278 0.282674 0.320272 0.0707756 
23	0.320116 0.0636706 0.290351 0.325862 
24	0.306524 0.0337117 0.327502 0.332262 
25	0.32963 0.296059 0.317847 0.0564633 
26	0.333146 0.115177 0.222584 0.329093 
27	0.328945 0.32603 0.289451 0.055574 
28	0.325594 0.31356 0.320337 0.0405094 
29	0.325849 0.324753 0.319272 0.030126 
30	0.286104 0.327793 0.317299 0.0688044 
31	0.321076 0.314736 0.316324 0.0478642 
32	0.327758 0.238092 0.12983 0.30432 
33	0.328267 0.262274 0.307072 0.102386 
34	0.318926 0.24982 0.163867 0.267387 
35	0.32634 0.245831 0.32267 0.105159 
36	0.318844 0.304808 0.263297 0.11305 
37	0.326444 0.207635 0.321127 0.144794 
38	0.326862 0.254492 0.306855 0.111792 
39	0.315311 0.324871 0.314605 0.0452129 
40	0.329943 0.306215 0.294414 0.0694282 
41	0.331738 0.317597 0.326862 0.0238027 
42	0.32986 0.16108 0.182877 0.326183 
43	0.328335 0.042493 0.305842 0.32333 
44	0.262113 0.267011 0.184753 0.286123 
45	0.307675 0.183222 0.272697 0.236407 
46	0.331308 0.210057 0.144994 0.313641 
47	0.333183 0.260212 0.332615 0.0739901 
48	0.32814 0.312514 0.33208 0.027266 
49	0.325113 0.2622 0.322351 0.0903363 
50	0.328613 0.272207 0.316687 0.0824927 
51	0.325841 0.0628081 0.280101 0.33125 
52	0.320315 0.289595 0.187009 0.203081 
53	0.33076 0.263541 0.32425 0.0814491 
54	0.330792 0.329917 0.305272 0.0340193 
55	0.293824 0.313499 0.224627 0.16805 
56	0.31053 0.0240705 0.333029 0.33237 
57	0.313556 0.240646 0.162312 0.283486 
58	0.305789 0.23351 0.192807 0.267894 
59	0.332233 0.0347056 0.308859 0.324202 
60	0.33062 0.275095 0.318654 0.0756316 
61	0.330735 0.302029 0.294251 0.0729853 
62	0.332539 0.332925 0.306779 0.0277577 
63	0.328141 0.285391 0.272743 0.113726 
64	0.325851 0.165292 0.202698 0.30616 
65	0.332967 0.31574 0.323616 0.0276772 
66	0.269631 0.313352 0.332765 0.0842513 
67	0.323656 0.0403418 0.324263 0.311739 
68	0.331545 0.0866636 0.269157 0.312635 
69	0.327381 0.265561 0.325191 0.0818668 
70	0.315678 0.163491 0.187944 0.332888 
71	0.329708 0.333323 0.259248 0.0777205 
72	0.325572 0.199168 0.306786 0.168474 
73	0.331902 0.278816 0.327472 0.06181 
74	0.304966 0.101073 0.265401 0.328561 
75	0.330411 0.024272 0.325579 0.319737 
76	0.329415 0.332874 0.258936 0.0787745 
77	0.331205 0.0120671 0.329124 0.327603 
78	0.288874 0.319881 0.270101 0.121144 
79	0.329782 0.331754 0.27213 0.0663339 
80	0.329979 0.330703 0.316918 0.0223994 
81	0.247105 0.322574 0.324691 0.10563 
82	0.331044 0.27263 0.325008 0.0713184 
83	0.307216 0.19242 0.207339 0.293025 
84	0.327379 0.0668596 0.279087 0.326675 
85	0.331069 0.0312428 0.327193 0.310495 
86	0.332427 0.332719 0.263843 0.0710104 
87	0.286413 0.0800473 0.310015 0.323524 
88	0.325312 0.328858 0.233821 0.112009 
89	0.330796 0.0440291 0.314342 0.310834 
90	0.325353 0.322848 0.271853 0.0799463 
91	0.325174 0.263535 0.321412 0.0898786 
92	0.313895 0.13132 0.225211 0.329574 
93	0.327476 0.308091 0.304602 0.0598319 
94	0.329567 0.26747 0.311531 0.0914319 
95	0.316693 0.243508 0.180074 0.259726 
96	0.331471 0.168026 0.176289 0.324213 
97	0.32731 0.256747 0.316316 0.0996266 
98	0.331125 0.162897 0.179567 0.326411 
99	0.326999 0.234035 0.295526 0.14344 
100	0.328628 0.277012 0.26782 0.12654 
101	0.304111 0.0428779 0.32322 0.329791 
102	0.311803 0.111399 0.247137 0.329662 
103	0.314219 0.238932 0.163414 0.283435 
104	0.32274 0.229409 0.271911 0.17594 
105	0.328502 0.286702 0.316162 0.0686345 
106	0.326809 0.032635 0.333002 0.307554 
107	0.284812 0.097761 0.28576 0.331668 
108	0.328855 0.0403676 0.300838 0.32994 
109	0.330294 0.263256 0.312476 0.0939729 
110	0.325058 0.292456 0.315132 0.0673551 
111	0.32967 0.29342 0.319441 0.0574685 
112	0.304812 0.324668 0.314022 0.0564978 
113	0.315036 0.143078 0.22655 0.315336 
114	0.328748 0.308784 0.321088 0.041381 
115	0.322993 0.309392 0.310618 0.0569968 
116	0.325129 0.198538 0.284352 0.191981 
117	0.328263 0.2621 0.306927 0.10271 
118	0.324156 0.291306 0.31421 0.0703271 
119	0.325965 0.206042 0.139074 0.328919 
120	0.328029 0.214047 0.138511 0.319414 
121	0.310124 0.33137 0.332662 0.025844 
122	0.320855 0.312201 0.290325 0.0766182 
123	0.323447 0.214464 0.26074 0.201348 
124	0.0968213 0.293127 0.322985 0.287067 
125	0.326867 0.151284 0.191923 0.329926 
126	0.285375 0.329083 0.231771 0.153772 
127	0.310443 0.329397 0.314662 0.0454982 
128	0.13119 0.330486 0.32303 0.215294 
129	0.246007 0.332098 0.33275 0.0891446 
130	0.306809 0.328903 0.253152 0.111136 
131	0.277914 0.328682 0.30742 0.0859845 
132	0.287096 0.108648 0.305118 0.299138 
133	0.324309 0.0169448 0.332285 0.326461 
134	0.245845 0.0975376 0.327763 0.328855 
135	0.185791 0.197632 0.324026 0.29255 
136	0.286523 0.330003 0.225665 0.157809 
137	0.32268 0.326522 0.236654 0.114144 
138	0.29403 0.328657 0.227899 0.149414 
139	0.283271 0.328209 0.230103 0.158416 
