1	1	-0.42428	0.12175
2	1	0.18335	0.54770
3	1	0.05	-0.31152
4	1	0.71080	-0.32694
5	1	-0.42269	0.67472
6	1	-0.42399	-0.40420
7	1	-0.10000	0.25000
8	2	0.15000	-0.20000
9	2	0.22695	0.07416
10	1	0.60657	0.16657
11	2	0.51580	0.73762
12	2	0.58384	1.01116
13	2	0.21425	1.18025
14	2	-0.47432	1.19870
15	2	0.25000	-0.25000
16	2	-0.50000	0.75000 
1	1	-0.5	0
2	1	0	0.5
3	1	0	-0.5
4	1	0.5	-0.5
5	1	-0.5	0.5
6	1	-0.5	-0.5
7	1	-0.25	-0.25
8	1	-0.25	0.25
9	2	0	0
10	2	0.5	0
11	2	0.5	0.5
12	2	0.5	1
13	2	0	1
14	2	-0.5	1
15	2	0.25	0.25
16	2	0.25	0.75
